nombre_japones,nombre,habilidades,contraataque_insecto,contraataque_siniestro,contraataque_dragon,contraataque_electrico,contraataque_hada,contraataque_lucha,contraataque_fuego,contraataque_volador,contraataque_fantasma,contraataque_planta,contraataque_tierra,contraataque_hielo,contraataque_normal,contraataque_veneno,contraataque_psiquico,contraataque_roca,contraataque_acero,contraataque_agua,ataque,pasos_base_para_eclosion,felicidad_base,total_base,Probabilidad_de_captura,clasificacion,defensa,crecimiento_experiencia,altura_(m),Puntos_de_salud,%_macho,No_Pokedex,ataque_especial,defensa_especial,velocidad,tipo1,tipo2,peso_(kg),generacion,es_legendario
Fushigidaneフシギダネ,Bulbasaur,"Overgrow, Chlorophyll",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,49,5120,70,318,45,Seed Pokémon,49,1059860,0.7,45,88.1,1,65,65,45,Grass,Poison,6.9,1,0
Fushigisouフシギソウ,Ivysaur,"Overgrow, Chlorophyll",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,62,5120,70,405,45,Seed Pokémon,63,1059860,1.0,60,88.1,2,80,80,60,Grass,Poison,13.0,1,0
Fushigibanaフシギバナ,Venusaur,"Overgrow, Chlorophyll",1.0,1.0,1.0,0.5,0.5,0.5,2.0,2.0,1.0,0.25,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.5,100,5120,70,625,45,Seed Pokémon,123,1059860,2.0,80,88.1,3,122,120,80,Grass,Poison,100.0,1,0
Hitokageヒトカゲ,Charmander,"Blaze, Solar Power",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,52,5120,70,309,45,Lizard Pokémon,43,1059860,0.6,39,88.1,4,60,50,65,Fire,Ninguno,8.5,1,0
Lizardoリザード,Charmeleon,"Blaze, Solar Power",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,64,5120,70,405,45,Flame Pokémon,58,1059860,1.1,58,88.1,5,80,65,80,Fire,Ninguno,19.0,1,0
Lizardonリザードン,Charizard,"Blaze, Solar Power",0.25,1.0,1.0,2.0,0.5,0.5,0.5,1.0,1.0,0.25,0.0,1.0,1.0,1.0,1.0,4.0,0.5,2.0,104,5120,70,634,45,Flame Pokémon,78,1059860,1.7,78,88.1,6,159,115,100,Fire,Flying,90.5,1,0
Zenigameゼニガメ,Squirtle,"Torrent, Rain Dish",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,48,5120,70,314,45,Tiny Turtle Pokémon,65,1059860,0.5,44,88.1,7,50,64,43,Water,Ninguno,9.0,1,0
Kameilカメール,Wartortle,"Torrent, Rain Dish",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,63,5120,70,405,45,Turtle Pokémon,80,1059860,1.0,59,88.1,8,65,80,58,Water,Ninguno,22.5,1,0
Kamexカメックス,Blastoise,"Torrent, Rain Dish",1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,103,5120,70,630,45,Shellfish Pokémon,120,1059860,1.6,79,88.1,9,135,115,78,Water,Ninguno,85.5,1,0
Caterpieキャタピー,Caterpie,"Shield Dust, Run Away",1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,30,3840,70,195,255,Worm Pokémon,35,1000000,0.3,45,50.0,10,20,20,45,Bug,Ninguno,2.9,1,0
